ISO,MID,Reference ID,Transaction ID,Corresponding ID,Approval Code,Processed Date,Created Date,Type,Source,Destination,Settlement Network,Last 4,Status,Network RC,Transaction Amount,Settled  Amount,TabaPay Fee,Network Fee,Interchange,Convenience Fee,First Name,Last Name,Memo,Location Name,Location Address 1,Location Address 2,Location City,Location State,Location Zip,AVS,CVV2,Network ID,Settlement Date,Card Brand,Card Type,Interchange Category,Network Fee Codes,BIN,Beneficiary Amount,Beneficiary Currency,FX Rate Applied,OFAC date,OFAC code,IssuerName,IssuerCountry,CorrOFAC date,CorrOFAC code,Corresponding FN,Corresponding LN
ISO,MID,aaa,aaa,,123,4/24/2022 23:05,4/24/2022 23:05,Purchase,Visa,Settlement,Visa,1111,Complete,0,1,1,-0.01,-0.01,-0.01,0,Rodney ,Robinson,,,,,,,,Z,,,4/25/2022,Visa,Debit,US REG,VSNAF/VNAPF/VDBA/VKBF,,,,,,,WELLS FARGO BANK NATIONAL ASSOCIATION,USA,,,,
ISO,MID,aaa,aaa,,124,4/24/2022 23:05,4/24/2022 23:05,Purchase,Visa,Settlement,Visa,1111,Error,41,1,0,-0.01,-0.01,-0.01,0,Rodney ,Robinson,,,,,,,,Y,,,4/25/2022,Visa,Debit,NA,VSNAF/VNAPF,,,,,,,THE BANCORP BANK,USA,,,,
ISO,MID,aaa,aaa,,124,4/24/2022 23:05,4/24/2022 23:05,Disbursement-Return,Visa,Settlement,Visa,1111,Error,41,1,0,,,,,Rodney ,Robinson,,,,,,,,Y,,,4/25/2022,Visa,Debit,NA,VSNAF/VNAPF,,,,,,,THE BANCORP BANK,USA,,,,
ISO,MID,aaa,aaa,,10.4,3/8/2022,2/17/2022,Chargeback,Settlement,Visa,Visa,1111,Complete,10.4,0.09,-0.09,-20,0,0,0,,,,,,,,,,None,No Response,,,,,,,,,,,,,,,,,,
ISO,MID,aaa,aaa,,13128,2/28/2022 23:06,2/28/2022 23:06,Purchase-Void,Visa,Settlement,Visa,1111,Complete,0,0.19,0,-0.04,-0.0346,0,0,Rodney ,Robinson,,,,,,,,Y,No Response,,3/1/2022,Visa,Debit,Not Available,/VNAPF/VSNAF/VNAPF/VSNAF,,,,,,,,,,,,
ISO,MID,aaa,aaa,,,2/28/2022 6:31,2/28/2022 6:31,Purchase-Reversal,Settlement,Mastercard,Mastercard,1111,Complete,0,0.32,-0.32,-0.04,-0.028,0,0,Rodney ,Robinson,,,,,,,,None,No Response,,3/1/2022,MasterCard,Debit,NA,/MNABU/MKBF/MARF,,,,,,,,,,,,
ISO,MID,aaa,aaa,,13.3,3/20/2022,3/11/2022,REPRESENTMENT,Visa,Settlement,Visa,1111,Complete,13.3,66,66,0,0,0,0,,,,,,,,,,None,No Response,,,,,,/ADJ,,,,,,,,,,,,
ISO,MID,aaa,aaa,,,3/23/2022 12:36,3/23/2022 12:36,Disbursement,Settlement,Visa,Visa,1111,Error,59,50,0,0,-0.0173,0,0,Rodney ,Robinson,,,,,,,,Q,,,3/24/2022,Visa,Debit,NA,/VSNAF/VNAPF,,0,USD,1,,,,,,,,
ISO,MID,aaa,aaa,,692479,3/23/2022 12:36,3/23/2022 12:36,Disbursement,Settlement,Mastercard,Mastercard,1111,Complete,0,35,-35,-0.25,-0.056,-0.1,0,Rodney ,Robinson,,,,,,,,None,No Response,,3/24/2022,Mastercard,Debit,NA,/MKBF/MDIS,,35,USD,1,,,,,,,,
ISO,MID,aaa,,,,20210101 728720,20210101 728720,Purchase,,Settlement,Unknown,AID,Failed,400,0,0,-0.025,0,0,0,,,SubClientID8,,,,,,,None,No Response,,20210101,,,,,,,,,,,,,,,,
ISO,MID,aaa,aaa,,,1/26/2021 20:04,1/26/2021 20:04,Disbursement,Settlement,Mastercard,Mastercard,1111,Unknown-Failed,,70,0,0,-0.0239,0,0,Rodney ,Robinson,,,,,,,,None,No Response,,1/27/2021,Mastercard,Debit,NA,/MKBF/MNABU,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
